Entry Order,Block,Patch,Corner,Dist,Species,2015 Survival Status,Position,Alive?,Repro Status,Recruit Count,Subset?,Quandrant?,Notes,Location_Info_Incorrect (1 = incorrect)
481,10,B,II,a,AB,1,4,1,0,0,,,,
482,10,B,II,a,NG,0,5,0,,0,,,,
483,10,B,II,a,GD,0,6,,,,,,,
484,10,B,II,a,SS,0,7,0,,0,,,,
485,10,B,II,a,AV,0,9,0,,0,,,,
486,10,B,II,b,AV,1,1,1,1,0,,,,
487,10,B,II,b,SS,0,2,0,,0,,,,
488,10,B,II,b,LE,0,4,0,,2,,,,
489,10,B,II,b,NG,1,5,1,0,10,,,,
490,10,B,II,b,CB,1,6,1,1,2,,,,
491,10,B,II,b,AB,1,7,1,0,10,,,,
492,10,B,II,b,GD,0,8,,,,,,,
493,10,B,II,c,AB,1,2,1,0,0,,,,
494,10,B,II,c,AV,0,3,0,,0,,,,
495,10,B,II,c,LE,0,4,0,,0,,,,
496,10,B,II,c,GD,0,5,,,,,,,
497,10,B,II,c,CB,0,6,0,,0,,,,
498,10,B,II,c,NG,1,7,1,0,0,,,,
499,10,B,II,c,SS,0,8,0,,0,,,,
500,10,B,II,d,NG,1,1,1,1,0,,,,
501,10,B,II,d,AV,1,2,1,1,0,,,,
502,10,B,II,d,GD,1,3,,,,,,,
503,10,B,II,d,SS,0,4,0,,0,,,,
504,10,B,II,d,AB,1,5,1,1,0,,,,
505,10,B,II,d,CB,1,6,1,1,7,,,,
506,10,B,II,d,LE,0,8,0,,0,,,,
507,10,B,III,a,CB,1,2,1,0,1,,,,
508,10,B,III,a,SS,1,3,1,0,0,,,,
509,10,B,III,a,AV,1,4,1,0,0,,,,
510,10,B,III,a,GD,0,5,0,,,,,,
511,10,B,III,a,LE,0,6,0,,0,,,,
136,8,C,I,d,LE,0,3,0,,,,,recruit count?,
513,10,B,III,a,AB,1,8,1,0,0,,,,
514,10,B,III,b,AB,1,2,1,0,6,,,,
515,10,B,III,b,LE,0,3,0,,1,,,,
516,10,B,III,b,GD,0,4,0,,,,,,
517,10,B,III,b,SS,0,5,0,,0,,,,
518,10,B,III,b,CB,0,6,0,,0,,,,
519,10,B,III,b,NG,1,7,1,1,13,,,,
520,10,B,III,b,AV,1,8,1,1,7,,,,
521,10,B,III,c,AB,1,3,1,0,0,,,,
522,10,B,III,c,GD,0,4,0,,,,,,
523,10,B,III,c,LE,0,5,0,,0,,,,
526,10,B,III,c,SS,1,6,1,1,0,,,,
527,10,B,III,c,AV,1,7,1,1,2,,,,
528,10,B,III,c,CB,1,8,1,1,0,,,,
529,10,B,III,c,NG,1,9,1,1,0,,,,
530,10,B,III,d,CB,1,2,1,1,6,,,,
531,10,B,III,d,NG,1,3,1,1,0,,,,
532,10,B,III,d,AB,1,4,1,0,0,,,,
533,10,B,III,d,LE,0,5,0,,0,,,,
534,10,B,III,d,AV,0,6,0,,0,,,,
535,10,B,III,d,GD,0,7,0,,,,,,
536,10,B,III,d,SS,0,9,0,,0,,,,
537,10,B,IV,a,GD,0,1,0,,,,,,
538,10,B,IV,a,CB,1,2,1,0,2,,,,
539,10,B,IV,a,SS,1,4,1,0,0,,,,
540,10,B,IV,a,AV,0,5,0,,1,,,,
541,10,B,IV,a,NG,1,6,1,1,0,,,,
542,10,B,IV,a,AB,1,7,1,0,0,,,,
543,10,B,IV,a,LE,1,8,1,1,1,,,,
544,10,B,IV,b,LE,0,1,0,,0,,,,
545,10,B,IV,b,CB,0,3,0,,0,,,,
546,10,B,IV,b,AV,1,4,1,1,2,,,,
547,10,B,IV,b,GD,0,5,0,,,,,,
548,10,B,IV,b,AB,0,6,0,,0,,,,
549,10,B,IV,b,SS,0,7,0,,0,,,,
550,10,B,IV,b,NG,1,8,1,0,0,,,,
551,10,B,IV,c,LE,0,1,0,,0,,,,
552,10,B,IV,c,NG,1,2,1,1,0,,,,
553,10,B,IV,c,SS,0,3,0,,0,,,,
554,10,B,IV,c,GD,0,5,0,,,,,,
555,10,B,IV,c,AV,1,6,1,1,0,,,,
556,10,B,IV,c,AB,1,7,1,0,2,,,,
557,10,B,IV,c,CB,0,8,0,,0,,,,
558,10,B,IV,d,GD,0,2,0,,,,,,
559,10,B,IV,d,NG,1,3,1,1,0,,,,
560,10,B,IV,d,CB,1,4,1,1,0,,,,
561,10,B,IV,d,AV,1,6,1,1,0,,,,
562,10,B,IV,d,AB,1,7,1,0,0,,,,
563,10,B,IV,d,SS,1,8,1,1,0,,,,
564,10,B,IV,d,LE,0,9,0,,0,,,,
565,10,C,I,a,LE,0,1,0,,0,,,,
566,10,C,I,a,GD,0,2,0,,,,,,
567,10,C,I,a,NG,0,3,0,,0,,,,
568,10,C,I,a,CB,1,4,1,0,1,,,,
569,10,C,I,a,SS,0,5,0,,0,,,,
570,10,C,I,a,AV,1,7,1,1,0,,,,
571,10,C,I,a,AB,1,8,1,0,0,,,,
572,10,C,I,b,AV,1,1,1,1,5,,,,
573,10,C,I,b,SS,0,2,0,,0,,,,
574,10,C,I,b,CB,1,4,1,1,2,,,,
575,10,C,I,b,GD,0,5,0,,,,,,
576,10,C,I,b,AB,1,6,1,0,0,,,,
577,10,C,I,b,NG,1,7,1,1,0,,,,
578,10,C,I,b,LE,0,8,0,,0,,,,
579,10,C,I,c,NG,1,3,1,1,0,,,,
580,10,C,I,c,CB,1,4,1,1,0,,,,
581,10,C,I,c,LE,1,5,1,0,0,,,,
582,10,C,I,c,AB,1,6,1,0,3,,,,
583,10,C,I,c,GD,0,7,0,,,,,,
584,10,C,I,c,AV,1,8,1,1,0,,,,
585,10,C,I,c,SS,1,9,1,1,0,,,,
586,10,C,I,d,GD,0,2,0,,,,,,
587,10,C,I,d,AB,1,3,1,1,0,,,,
588,10,C,I,d,LE,0,4,0,,0,,,,
589,10,C,I,d,AV,1,5,1,1,1,,,,
590,10,C,I,d,CB,1,6,1,1,0,,,,
591,10,C,I,d,SS,1,7,1,1,0,,,,
592,10,C,I,d,NG,1,8,1,1,0,,,,
593,10,C,II,a,AV,1,2,1,1,0,,,,
594,10,C,II,a,NG,1,3,1,0,0,,,,
595,10,C,II,a,SS,0,4,0,,0,,,,
596,10,C,II,a,LE,1,5,0,,0,,,,
597,10,C,II,a,AB,0,7,0,,0,,,,
598,10,C,II,a,CB,1,8,1,1,0,,,,
599,10,C,II,a,GD,0,9,0,,,,,,
600,10,C,II,b,LE,0,3,0,,0,,,,
601,10,C,II,b,SS,0,4,0,,0,,,,
602,10,C,II,b,CB,1,5,1,1,0,,,,
138,8,C,I,d,CB,1,6,1,1,,,,recruit count?,
604,10,C,II,b,AB,1,7,1,1,7,,,,
605,10,C,II,b,AV,1,8,1,1,1,,,,
606,10,C,II,b,GD,1,9,1,,,,,,
607,10,C,II,c,LE,0,1,0,,0,,,,
608,10,C,II,c,AV,1,3,1,1,5,,,,
609,10,C,II,c,GD,0,4,0,,,,,,
610,10,C,II,c,CB,0,5,0,,0,,,,
611,10,C,II,c,NG,1,6,1,1,0,,,,
612,10,C,II,c,SS,1,7,1,1,0,,,,
613,10,C,II,c,AB,1,8,1,0,14,,,,
614,10,C,II,d,GD,0,1,0,,,,,,
615,10,C,II,d,AB,1,3,1,0,0,,,,
616,10,C,II,d,AV,1,4,1,1,0,,,,
617,10,C,II,d,CB,1,5,0,,0,,,,
618,10,C,II,d,NG,1,6,1,1,0,,,,
619,10,C,II,d,SS,1,7,1,1,0,,,,
620,10,C,II,d,LE,0,8,0,,0,,,,
621,10,C,III,a,CB,1,3,1,0,0,,,,
622,10,C,III,a,GD,1,4,1,,,,,,
623,10,C,III,a,SS,1,5,1,1,1,,,,
140,8,C,I,d,AV,0,8,0,,,,,recruit count?,
625,10,C,III,a,AB,1,7,1,0,0,,,,
626,10,C,III,a,LE,0,8,0,,0,,,,
627,10,C,III,a,NG,1,9,1,1,0,,,,
628,10,C,III,b,GD,0,2,0,,,,,,
629,10,C,III,b,SS,1,3,1,1,1,,,,
630,10,C,III,b,AB,1,4,1,0,0,,,,
631,10,C,III,b,CB,1,5,1,1,0,,,,
632,10,C,III,b,LE,0,6,0,,0,,,,
633,10,C,III,b,AV,0,7,0,,0,,,,
634,10,C,III,b,NG,1,8,1,0,0,,,,
635,10,C,III,c,AV,0,2,0,,0,,,,
636,10,C,III,c,AB,1,3,1,0,0,,,,
637,10,C,III,c,GD,0,4,0,,,,,,
638,10,C,III,c,SS,1,5,1,1,1,,,,
639,10,C,III,c,LE,0,6,0,,1,,,,
640,10,C,III,c,NG,1,8,1,1,0,,,,
641,10,C,III,c,CB,1,9,1,1,0,,,,
642,10,C,III,d,LE,0,1,0,,0,,,,
643,10,C,III,d,AB,0,2,0,,0,,,,
644,10,C,III,d,CB,1,3,1,1,0,,,,
645,10,C,III,d,SS,1,4,1,1,0,,,,
646,10,C,III,d,GD,0,5,0,,,,,,
647,10,C,III,d,NG,0,6,0,,0,,,,
648,10,C,III,d,AV,1,8,1,1,0,,,,
649,10,C,IV,a,NG,0,1,0,,0,,,,
650,10,C,IV,a,CB,1,2,1,1,1,,,,
651,10,C,IV,a,LE,1,4,0,,0,,,,
652,10,C,IV,a,AV,1,5,1,1,0,,,,
653,10,C,IV,a,GD,1,6,1,,,,,,
654,10,C,IV,a,AB,1,7,1,0,0,,,,
655,10,C,IV,a,SS,1,8,1,0,0,,,,
656,10,C,IV,b,AB,1,2,1,0,0,,,,
657,10,C,IV,b,LE,0,3,0,,0,,,,
658,10,C,IV,b,SS,1,4,1,1,0,,,,
659,10,C,IV,b,GD,0,6,0,,,,,,
660,10,C,IV,b,NG,1,7,1,0,0,,,,
661,10,C,IV,b,CB,1,8,1,1,0,,,,
662,10,C,IV,b,AV,1,9,1,1,0,,,,
663,10,C,IV,c,LE,1,1,1,0,0,,,,
664,10,C,IV,c,AV,1,2,1,1,0,,,,
665,10,C,IV,c,NG,1,3,1,0,4,,,,
666,10,C,IV,c,SS,0,4,0,,0,,,,
667,10,C,IV,c,GD,0,5,0,,,,,,
668,10,C,IV,c,AB,1,7,1,0,8,,,,
669,10,C,IV,c,CB,1,8,0,,0,,,,
670,10,C,IV,d,AB,1,2,1,0,0,,,,
141,8,C,II,a,AB,0,1,0,,,,,recruit count?,
672,10,C,IV,d,AV,1,5,1,1,0,,,,
673,10,C,IV,d,LE,0,6,0,,0,,,,
674,10,C,IV,d,GD,0,7,0,,,,,,
675,10,C,IV,d,NG,1,8,1,1,0,,,,
676,10,C,IV,d,SS,0,9,0,,0,,,,
677,10,D,I,a,CB,1,3,1,1,0,,,,
156,8,C,II,c,AV,0,3,0,,,,,recruit count?,
679,10,D,I,a,AB,1,5,1,0,0,,,,
680,10,D,I,a,NG,1,6,1,1,0,,,,
681,10,D,I,a,GD,1,7,0,,,,,,
682,10,D,I,a,SS,0,8,0,,0,,,,
683,10,D,I,a,AV,1,9,1,1,0,,,,
684,10,D,I,b,LE,1,1,1,1,3,,,,
685,10,D,I,b,CB,1,2,1,1,1,,,,
686,10,D,I,b,NG,1,4,1,0,0,,,,
687,10,D,I,b,SS,1,5,1,1,0,,,,
688,10,D,I,b,AV,0,6,0,,0,,,,
689,10,D,I,b,GD,1,7,1,,,,,,
690,10,D,I,b,AB,1,8,1,0,9,,,,
691,10,D,I,c,LE,0,2,0,,0,,,,
692,10,D,I,c,AV,1,3,1,1,0,,,,
693,10,D,I,c,AB,1,4,1,0,1,,,,
694,10,D,I,c,CB,1,6,1,1,0,,,,
695,10,D,I,c,GD,0,7,0,,,,,,
696,10,D,I,c,NG,1,8,1,1,14,,,,
159,8,C,II,c,SS,0,6,,,,,,recruit count?,
698,10,D,I,d,GD,0,2,0,,,,,,
699,10,D,I,d,AV,1,3,1,1,0,,,,
700,10,D,I,d,AB,1,5,1,0,0,,,,
701,10,D,I,d,LE,0,6,0,,0,,,,
702,10,D,I,d,SS,0,7,0,,0,,,,
703,10,D,I,d,CB,1,8,1,0,0,,,,
704,10,D,I,d,NG,1,9,1,1,19,,,,
705,10,D,II,a,LE,1,1,0,,0,,,,
706,10,D,II,a,CB,1,2,1,0,0,,,,
707,10,D,II,a,GD,1,3,1,,,,,,
708,10,D,II,a,NG,1,4,1,0,0,,,,
709,10,D,II,a,AB,1,5,1,0,0,,,,
710,10,D,II,a,AV,0,7,0,,0,,,,
711,10,D,II,a,SS,1,8,1,1,0,,,,
712,10,D,II,b,AV,1,2,1,1,0,,,,
713,10,D,II,b,GD,0,3,0,,,,,,
714,10,D,II,b,CB,1,5,1,1,0,,,,
160,8,C,II,c,NG,1,8,1,1,,,,recruit count?,
716,10,D,II,b,AB,1,7,1,0,11,,,,
717,10,D,II,b,LE,1,8,1,0,0,,,,
718,10,D,II,b,SS,1,9,1,1,0,,,,
719,10,D,II,c,AV,1,1,1,1,6,,,,
720,10,D,II,c,AB,1,2,1,0,12,1,4,,
721,10,D,II,c,NG,0,3,0,,0,,,,
722,10,D,II,c,SS,1,4,0,,0,,,,
723,10,D,II,c,LE,0,6,0,,0,,,,
724,10,D,II,c,CB,0,7,0,,1,,,,
725,10,D,II,c,GD,0,8,0,,,,,,
726,10,D,II,d,AV,1,1,1,0,0,,,,
727,10,D,II,d,NG,1,2,1,1,0,,,,
728,10,D,II,d,AB,1,3,1,0,0,,,,
729,10,D,II,d,CB,1,5,1,1,9,1,1,,
730,10,D,II,d,GD,0,6,0,,,,,,
731,10,D,II,d,SS,0,7,0,,0,,,,
732,10,D,II,d,LE,0,8,0,,0,,,,
733,10,D,III,a,CB,0,2,0,,0,,,,
734,10,D,III,a,AV,1,3,1,1,0,,,,
735,10,D,III,a,AB,0,4,0,,0,,,,
736,10,D,III,a,LE,0,5,0,,0,,,,
737,10,D,III,a,GD,1,6,1,,,,,,
738,10,D,III,a,SS,1,7,1,1,0,,,,
739,10,D,III,a,NG,1,8,1,1,0,,,,
740,10,D,III,b,CB,1,1,1,1,5,,,,
741,10,D,III,b,NG,0,3,0,,0,,,,
742,10,D,III,b,GD,0,4,0,,,,,,
743,10,D,III,b,AB,1,5,1,0,5,,,,
744,10,D,III,b,SS,0,6,0,,0,,,,
745,10,D,III,b,AV,1,7,1,1,4,,,,
746,10,D,III,b,LE,0,8,0,,0,,,,
747,10,D,III,c,SS,0,2,0,,0,,,,
748,10,D,III,c,CB,0,3,0,,0,,,,
749,10,D,III,c,GD,0,4,0,,,,,,
162,8,C,II,d,SS,.,2,0,,,,,recruit count?,
751,10,D,III,c,AB,1,6,1,0,16,,,,
752,10,D,III,c,LE,0,7,0,,0,,,,
753,10,D,III,c,NG,1,8,1,1,0,,,,
754,10,D,III,d,SS,0,2,0,,0,,,,
755,10,D,III,d,CB,0,3,0,,0,,,,
756,10,D,III,d,AV,1,5,1,1,1,,,,
757,10,D,III,d,AB,0,6,0,,0,,,,
758,10,D,III,d,NG,1,7,1,1,0,,,,
759,10,D,III,d,GD,0,8,0,,,,,,
760,10,D,III,d,LE,0,9,0,,0,,,,
761,10,D,IV,a,SS,1,1,1,1,0,,,,
163,8,C,II,d,CB,1,3,1,0,,,,recruit count?,
164,8,C,II,d,AB,0,4,0,,,,,recruit count?,
764,10,D,IV,a,AV,0,5,0,,0,,,,
765,10,D,IV,a,NG,1,6,1,0,0,,,,
766,10,D,IV,a,CB,1,7,1,1,0,,,,
767,10,D,IV,a,GD,0,8,0,,,,,,
768,10,D,IV,b,AV,1,1,1,0,0,,,,
769,10,D,IV,b,SS,1,2,0,,0,,,,
770,10,D,IV,b,AB,1,3,1,0,6,,,,
771,10,D,IV,b,GD,1,4,1,,,,,,
772,10,D,IV,b,LE,0,6,0,,0,,,,
166,8,C,II,d,AV,0,6,0,,,,,recruit count?,
774,10,D,IV,b,NG,1,8,1,1,0,,,,
775,10,D,IV,c,GD,0,2,0,,,,,,
776,10,D,IV,c,SS,0,3,1,1,0,,,,
777,10,D,IV,c,LE,0,4,0,,0,,,,
778,10,D,IV,c,CB,1,5,1,0,0,,,,
779,10,D,IV,c,NG,0,6,0,,0,,,,
780,10,D,IV,c,AB,1,7,1,0,32,,,,
781,10,D,IV,c,AV,1,8,1,0,0,,,,
782,10,D,IV,d,SS,1,2,1,0,0,,,,
783,10,D,IV,d,GD,0,3,0,,,,,,
784,10,D,IV,d,LE,0,4,0,,0,,,,
785,10,D,IV,d,AV,1,5,1,1,0,,,,
786,10,D,IV,d,NG,1,6,1,1,0,,,,
787,10,D,IV,d,AB,1,7,1,0,0,,,,
788,10,D,IV,d,CB,1,8,1,1,0,,,,
789,10,E,I,a,AB,1,2,1,0,0,,,,
790,10,E,I,a,AV,1,4,1,1,0,,,,
791,10,E,I,a,SS,0,5,0,,0,,,,
792,10,E,I,a,CB,1,6,1,1,0,,,,
793,10,E,I,a,LE,0,7,0,,0,,,,
794,10,E,I,a,NG,0,8,0,,0,,,,
795,10,E,I,a,GD,1,9,1,,,,,,
796,10,E,I,b,AB,1,1,1,0,12,,,,
797,10,E,I,b,SS,1,2,1,1,0,,,,
798,10,E,I,b,LE,0,3,0,,0,,,,
799,10,E,I,b,CB,1,5,1,1,0,,,,
800,10,E,I,b,GD,0,6,1,,,,,,
801,10,E,I,b,NG,1,7,1,1,0,,,,
802,10,E,I,b,AV,0,8,0,,0,,,,
803,10,E,I,c,AV,1,2,1,1,1,,,,
804,10,E,I,c,GD,0,3,0,,,,,,
805,10,E,I,c,SS,1,4,1,1,0,,,,
806,10,E,I,c,NG,1,5,1,1,0,,,,
807,10,E,I,c,LE,1,7,0,,0,,,,
167,8,C,II,d,NG,1,8,1,0,,,,recruit count?,
809,10,E,I,c,CB,0,9,0,,0,,,,
810,10,E,I,d,GD,0,1,0,,,,,,
811,10,E,I,d,AB,1,2,1,0,0,,,,
812,10,E,I,d,CB,0,3,0,,0,,,,
813,10,E,I,d,AV,1,4,1,1,0,,,,
814,10,E,I,d,SS,0,6,0,,0,,,,
815,10,E,I,d,LE,0,7,0,,0,,,,
816,10,E,I,d,NG,1,8,1,1,0,,,,
817,10,E,II,a,AV,1,1,0,0,1,,,,
818,10,E,II,a,LE,1,3,1,0,4,,,,
819,10,E,II,a,GD,1,4,1,,,,,,
820,10,E,II,a,NG,1,5,1,1,0,,,,
821,10,E,II,a,CB,1,6,1,1,2,,,,
822,10,E,II,a,AB,1,7,1,0,0,,,,
823,10,E,II,a,SS,0,8,0,,0,,,,
824,10,E,II,b,CB,1,1,1,1,0,,,,
825,10,E,II,b,GD,0,2,0,,,,,,
826,10,E,II,b,AB,1,3,1,0,3,,,,
827,10,E,II,b,LE,1,4,1,0,0,,,,
828,10,E,II,b,AV,1,5,1,1,0,,,,
829,10,E,II,b,NG,1,6,1,1,0,,,,
830,10,E,II,b,SS,1,7,1,1,0,,,,
831,10,E,II,c,SS,1,1,1,1,0,,,,
832,10,E,II,c,GD,0,2,0,,,,,,
833,10,E,II,c,CB,1,3,1,1,2,,,,
834,10,E,II,c,AV,1,5,1,1,0,,,,
835,10,E,II,c,NG,1,6,1,1,0,,,,
836,10,E,II,c,AB,1,7,1,0,16,,,,
837,10,E,II,c,LE,0,8,0,,0,,,,
838,10,E,II,d,SS,0,1,0,,0,,,,
839,10,E,II,d,AV,1,2,1,1,0,,,,
840,10,E,II,d,AB,1,3,1,0,16,,,,
841,10,E,II,d,NG,1,4,1,1,0,,,,
842,10,E,II,d,GD,0,5,0,,,,,,
843,10,E,II,d,LE,0,6,0,,0,,,,
844,10,E,II,d,CB,1,7,1,0,0,,,,
845,10,E,III,a,GD,1,1,1,,,,,,
846,10,E,III,a,LE,0,2,0,,0,,,,
847,10,E,III,a,AV,0,3,0,,0,,,,
848,10,E,III,a,SS,1,4,1,1,0,,,,
849,10,E,III,a,NG,1,5,1,1,0,,,,
850,10,E,III,a,AB,0,7,0,,0,,,,
851,10,E,III,a,CB,1,8,1,1,0,,,,
852,10,E,III,b,NG,1,1,1,1,0,,,,
853,10,E,III,b,GD,1,2,1,,,,,,
854,10,E,III,b,AB,1,3,1,0,1,,,,
855,10,E,III,b,CB,0,4,0,,0,,,,
856,10,E,III,b,AV,1,6,1,1,1,,,,
857,10,E,III,b,SS,1,7,1,1,1,,,,
858,10,E,III,b,LE,1,8,1,1,2,,,,
859,10,E,III,c,AB,1,1,1,0,0,,,,
860,10,E,III,c,CB,1,2,1,1,0,,,,
861,10,E,III,c,LE,0,3,0,,0,,,,
862,10,E,III,c,AV,1,4,1,1,0,,,,
863,10,E,III,c,GD,1,5,1,,,,,,
864,10,E,III,c,SS,0,6,0,,0,,,,
168,8,C,II,d,LE,0,9,0,,,,,recruit count?,
866,10,E,III,d,NG,1,2,1,1,0,,,,
867,10,E,III,d,CB,1,3,1,1,0,,,,
868,10,E,III,d,LE,0,4,0,,0,,,,
869,10,E,III,d,AB,1,5,1,0,0,,,,
870,10,E,III,d,SS,0,6,0,,0,,,,
871,10,E,III,d,AV,1,7,1,1,0,,,,
872,10,E,III,d,GD,0,9,0,,,,,,
873,10,E,IV,a,NG,1,2,1,0,0,,,,
874,10,E,IV,a,CB,1,3,1,1,0,,,,
875,10,E,IV,a,AV,1,4,1,1,0,,,,
876,10,E,IV,a,AB,1,5,1,0,0,,,,
204,8,C,IV,b,LE,0,2,0,,,,,recruit count?,
878,10,E,IV,a,GD,0,8,0,,,,,,
879,10,E,IV,a,LE,0,9,0,,0,,,,
880,10,E,IV,b,GD,1,2,1,,,,,,
881,10,E,IV,b,CB,1,3,1,0,3,,,,
882,10,E,IV,b,SS,1,4,1,1,9,,,,
207,8,C,IV,b,SS,0,5,0,,,,,recruit count?,
884,10,E,IV,b,AB,1,6,1,0,0,,,,
885,10,E,IV,b,AV,1,7,1,1,0,,,,
886,10,E,IV,b,NG,1,8,1,1,0,,,,
887,10,E,IV,c,NG,1,2,1,1,0,,,,
888,10,E,IV,c,GD,0,3,0,,,,,,
889,10,E,IV,c,CB,1,4,1,1,0,,,,
890,10,E,IV,c,SS,1,5,1,1,1,,,,
891,10,E,IV,c,AV,1,6,1,1,0,,,,
892,10,E,IV,c,AB,1,7,1,0,0,,,,
893,10,E,IV,c,LE,0,8,0,,0,,,,
894,10,E,IV,d,AB,1,2,1,0,0,,,,
895,10,E,IV,d,SS,0,3,0,,0,,,,
896,10,E,IV,d,NG,1,5,1,1,0,,,,
897,10,E,IV,d,AV,1,6,1,1,0,,,,
898,10,E,IV,d,CB,1,7,1,0,1,,,,
899,10,E,IV,d,GD,1,8,1,,,,,,
900,10,E,IV,d,LE,0,9,0,,0,,,,
901,52,B,I,a,CB,1,3,1,0,4,,,,
902,52,B,I,a,GD,1,4,1,,,,,,
903,52,B,I,a,SS,1,5,1,1,0,,,,
904,52,B,I,a,NG,1,6,1,0,0,,,,
905,52,B,I,a,AB,1,7,1,0,0,,,,
906,52,B,I,a,LE,1,8,1,0,24,,,,
215,8,C,IV,c,LE,0,5,0,,,,,recruit count?,
908,52,B,I,b,LE,1,2,1,0,7,,,,
909,52,B,I,b,AB,1,3,1,0,0,,,,
910,52,B,I,b,CB,1,4,1,1,15,,,,
911,52,B,I,b,AV,1,5,1,0,0,,,,
912,52,B,I,b,GD,1,6,1,,,,,,
913,52,B,I,b,SS,0,7,0,,1,,,,
914,52,B,I,b,NG,1,8,1,1,0,,,,
221,8,C,IV,d,NG,0,6,0,,,,,recruit count?,
226,8,C,IV,d,LE,0,9,0,,,,,recruit count?,
228,8,D,I,a,AV,0,2,0,,,,,recruit count?,
918,52,B,I,c,AV,1,4,1,1,22,,,,
919,52,B,I,c,AB,1,5,1,0,2,,,,
232,8,D,I,a,LE,0,6,0,,,,,recruit count?,
921,52,B,I,c,GD,1,8,1,0,,,,,
922,52,B,I,d,AV,1,2,1,1,1,,,,
923,52,B,I,d,NG,1,3,1,1,0,,,,
924,52,B,I,d,AB,1,5,1,0,5,,,,
925,52,B,I,d,CB,1,6,1,0,9,,,,
926,52,B,I,d,SS,1,7,1,1,0,,,,
927,52,B,I,d,GD,0,8,0,,0,,,,
928,52,B,I,d,LE,0,9,0,,0,,,,
929,52,B,II,a,AV,1,3,1,0,0,,,,
930,52,B,II,a,AB,1,4,1,0,0,,,,
931,52,B,II,a,LE,1,5,1,1,3,,,,
932,52,B,II,a,SS,1,6,1,1,0,,,,
933,52,B,II,a,GD,1,7,1,,,,,,
934,52,B,II,a,NG,1,8,1,1,0,,,,
935,52,B,II,a,CB,1,9,1,0,10,,,,
936,52,B,II,b,NG,1,2,1,1,0,,,,
238,8,D,I,b,NG,1,6,0,,,,,recruit count?,
938,52,B,II,b,GD,0,4,0,,,,,,
939,52,B,II,b,LE,1,5,1,1,18,1,2,,
940,52,B,II,b,SS,1,6,1,1,0,,,,
941,52,B,II,b,CB,1,7,1,1,8,,,,
942,52,B,II,b,AB,1,9,1,0,0,,,,
943,52,B,II,c,LE,0,1,0,,1,,,,
944,52,B,II,c,AV,1,2,1,0,0,,,,
945,52,B,II,c,CB,1,3,1,1,22,,,,
946,52,B,II,c,SS,1,5,0,,0,,,,
947,52,B,II,c,GD,1,6,1,,0,,,,
948,52,B,II,c,NG,0,7,0,,0,,,,
949,52,B,II,c,AB,0,8,0,,0,,,,
950,52,B,II,d,AB,1,2,1,0,7,,,,
951,52,B,II,d,CB,1,3,1,1,7,,,,
952,52,B,II,d,AV,1,4,1,1,6,,,,
953,52,B,II,d,GD,0,5,0,,,,,,
954,52,B,II,d,SS,1,6,1,1,6,,,,
955,52,B,II,d,NG,1,7,1,1,22,,,,
956,52,B,II,d,LE,1,9,1,1,0,,,,
957,52,B,III,a,AV,1,1,1,1,0,,,,
958,52,B,III,a,GD,1,2,1,,,,,,
959,52,B,III,a,CB,1,3,1,1,2,,,,
960,52,B,III,a,NG,1,4,1,1,0,,,,
961,52,B,III,a,AB,1,6,1,0,0,,,,
962,52,B,III,a,LE,1,7,1,1,12,,,,
963,52,B,III,a,SS,1,8,1,1,0,,,,
964,52,B,III,b,AV,1,3,1,0,8,,,,
965,52,B,III,b,SS,1,4,0,,0,,,,
966,52,B,III,b,CB,1,5,1,0,7,,,,
967,52,B,III,b,LE,1,6,0,,0,,,,
968,52,B,III,b,AB,1,7,1,0,0,,,,
969,52,B,III,b,GD,1,8,1,,,,,,
970,52,B,III,b,NG,1,9,1,1,0,,,,
971,52,B,III,c,AV,1,2,1,1,4,,,,
972,52,B,III,c,AB,1,4,1,0,0,,,,
973,52,B,III,c,CB,1,5,0,,31,,,,
974,52,B,III,c,LE,1,6,1,1,2,,,,
975,52,B,III,c,SS,1,7,0,,0,,,,
976,52,B,III,c,GD,0,8,0,,,,,,
977,52,B,III,c,NG,1,9,1,1,0,,,,
241,8,D,I,c,LE,1,2,1,,,,,recruit count?,
979,52,B,III,d,NG,1,2,1,1,0,,,,
980,52,B,III,d,AV,1,4,1,1,4,,,,
242,8,D,I,c,AB,1,3,0,,,,,recruit count?,
982,52,B,III,d,GD,1,6,1,,,,,,
255,8,D,II,a,AV,0,1,0,,,,,recruit count?,
984,52,B,III,d,AB,1,8,1,0,1,,,,
985,52,B,IV,a,SS,1,1,1,1,0,,,,
986,52,B,IV,a,NG,1,3,1,1,0,,,,
987,52,B,IV,a,AB,1,4,1,0,0,,,,
988,52,B,IV,a,CB,1,5,1,1,0,,,,
989,52,B,IV,a,LE,1,6,1,1,30,,,,
990,52,B,IV,a,GD,1,7,1,,,,,,
991,52,B,IV,a,AV,1,8,0,,0,,,,
992,52,B,IV,b,LE,1,2,1,1,0,,,,
993,52,B,IV,b,NG,1,3,1,1,0,,,,
994,52,B,IV,b,GD,0,4,0,,,,,,
995,52,B,IV,b,AV,1,5,0,,0,,,,
996,52,B,IV,b,AB,1,6,1,0,0,,,,
997,52,B,IV,b,CB,1,7,1,1,6,,,,
998,52,B,IV,b,SS,1,8,1,0,0,,,,
999,52,B,IV,c,NG,1,2,1,1,0,,,,
